County ,Employment,Avg_weekly_wage
Anderson,"20,912",853
Andrews,"7,999","1,328"
Angelina,"35,427",784
Aransas,"5,564",769
Archer,"1,787",731
Armstrong,390,757
Atascosa,"14,283","1,046"
Austin,"10,765",933
Bailey,"2,497",773
Bandera,"3,343",711
Bastrop,"18,681",776
Baylor,"1,417",666
Bee,"8,886",716
Bell,"120,913",916
Bexar,"878,443",965
Blanco,"3,361",983
Borden,261,776
Bosque,"3,707",776
Bowie,"41,808",784
Brazoria,"116,600","1,095"
Brazos,"109,181",815
Brewster,"4,096",787
Briscoe,323,598
Brooks,"2,749",852
Brown,"15,341",735
Burleson,"4,555",902
Burnet,"14,824",821
Caldwell,"8,899",746
Calhoun,"12,873","1,314"
Callahan,"2,510",802
Cameron,"141,467",659
Camp,"3,846",759
Carson,"5,037","1,711"
Cass,"7,818",731
Castro,"2,517",721
Chambers,"18,138","1,269"
Cherokee,"14,501",717
Childress,"2,525",737
Clay,"1,497",703
Cochran,657,812
Coke,736,761
Coleman,"1,962",614
Collin,"431,973","1,278"
Collingsworth,821,779
Colorado,"7,020",822
Comal,"60,194",843
Comanche,"3,847",675
Concho,926,782
Cooke,"14,907",902
Coryell,"16,059",818
Cottle,415,895
Crane,"1,148","1,119"
Crockett,"1,458",823
Crosby,"1,265",728
Culberson,"1,221","1,050"
Dallam,"4,484",874
Dallas,"1,750,722","1,303"
Dawson,"4,270",789
De Witt,"7,938",878
Deaf Smith,"7,809",823
Delta,"1,004",512
Denton,"260,926",962
Dickens,441,659
Dimmit,"6,504","1,074"
Donley,849,628
Duval,"3,534",753
Eastland,"7,519","1,037"
Ector,"81,051","1,227"
Edwards,572,808
El Paso,"312,881",765
Ellis,"52,520",868
Erath,"16,906",714
Falls,"3,165",721
Fannin,"8,525",798
Fayette,"8,997",833
Fisher,788,818
Floyd,"1,554",672
Foard,378,572
Fort Bend,"195,792",977
Franklin,"3,127",824
Freestone,"4,613",805
Frio,"7,617","1,008"
Gaines,"6,618",986
Galveston,"110,078",959
Garza,"1,858",834
Gillespie,"10,879",751
Glasscock,581,993
Goliad,"1,297",835
Gonzales,"7,341",844
Gray,"7,749",961
Grayson,"47,276",851
Gregg,"76,321",919
Grimes,"7,320",992
