County ,His_pop,Afr_pop,Asia_pop,Whi_pop
Anderson,18,21.7,0.9,74.8
Andrews,56.6,1.9,0.8,94.2
Angelina,22.5,15.5,1.1,81.2
Aransas,27.4,1.7,2,93.1
Archer,8.2,1.2,0.5,95.3
Armstrong,8,1.1,0.2,96.4
Atascosa,64.7,1.3,0.6,95.5
Austin,27.6,9.3,0.8,87.5
Bailey,64.1,2.2,0.9,92.2
Bandera,19.4,1.1,0.6,95.4
Bastrop,38.7,7.4,0.9,87.5
Baylor,13.7,3,0.5,93.5
Bee,59.3,8.9,0.6,88.2
Bell,25.3,24.4,3.3,65.8
Bexar,60.5,8.5,3.3,84.4
Blanco,19.8,1.6,1.1,94.4
Borden,18.7,0.9,0.2,95.2
Bosque,19,2.1,0.6,94.8
Bowie,7.8,25.4,1.4,69.7
Brazoria,31.1,14.7,7,75.3
Brazos,26,11,6.6,79.6
Brewster,45,1.6,1.4,92.8
Briscoe,24.8,3.6,0.3,93.1
Brooks,91.6,1,1.1,96.7
Brown,22.7,4.1,0.8,92.4
Burleson,20.8,12.9,0.4,83.8
Burnet,22.7,2.1,0.9,94.2
Caldwell,53,6.5,1,88.9
Calhoun,49.1,3.2,5.5,89.1
Callahan,9.9,1.7,0.7,94.8
Cameron,89.8,0.8,0.8,97.1
Camp,25.7,16.7,1,78.6
Carson,10.5,0.9,0.5,94.7
Cass,4.7,16.9,0.5,80.3
Castro,65.5,2.7,0.7,93.7
Chambers,22.8,8.5,1.3,87.5
Cherokee,23.6,14.6,0.6,81.2
Childress,32,10.9,0.7,86.1
Clay,6.5,0.9,0.5,95
Cochran,59.9,4.3,0.5,90.9
Coke,21.5,0.9,0.1,94.5
Coleman,17.5,3.2,1.1,92.2
Collin,15.4,10.5,15.9,70
Collingsworth,33.9,6.1,0.5,88.1
Colorado,30.6,12.8,0.7,83.9
Comal,27.8,2.5,1.4,93.2
Comanche,28.3,1.1,0.6,95.6
Concho,55.3,2.9,1.4,93.7
Cooke,18.8,3.4,1.1,92.1
Coryell,18.7,17.7,2.1,73.6
Cottle,24.6,10.9,0.1,86.3
Crane,65.2,3.7,0.9,92.2
Crockett,66.3,1.6,0.7,94
Crosby,55.8,3.9,0.3,92.5
Culberson,72.1,1,2,91.4
Dallam,47.4,2.4,1.2,92.5
Dallas,40.5,23.5,6.7,66.7
Dawson,58.1,6.1,1.1,90
Deaf Smith,73.5,2,0.6,94.4
Delta,8.5,6.7,0.7,87.2
Denton,19.5,10.6,9.5,76.3
De Witt,35.5,9.5,0.4,87.9
Dickens,31.6,5.9,1.3,88.4
Dimmit,87.4,1.6,0.7,95.9
Donley,11.9,5.9,0.8,90.9
Duval,89.1,1.5,0.5,96.4
Eastland,16.8,2.1,0.7,94.3
Ector,61.3,5.2,1.2,90.4
Edwards,55.3,1.1,0.7,95
Ellis,83,3.9,1.3,92
El Paso,26.6,11.4,0.8,84.8
Erath,21.7,2,0.9,94.2
Falls,23.7,24.2,0.6,71.8
Fannin,11.6,6.6,0.8,88.9
Fayette,21.6,6.6,0.5,90.4
Fisher,28.6,4.2,0.5,91.7
Floyd,59.5,4.1,0.5,91.8
Foard,18.8,4.8,0.8,92.3
Fort Bend,24.7,21.1,20.8,55.1
Franklin,14.8,4,1,92.1
Freestone,15.8,15.8,0.8,80
Frio,79.3,3.9,2.5,91.5
Gaines,42.4,2.2,0.4,95
Galveston,25,13.3,3.5,80.2
Garza,52.4,7.6,0.6,89.4
Gillespie,23.7,0.7,0.5,96.5
Glasscock,38.5,1.6,0.1,97.2
Goliad,36.4,5.3,0.5,91.8
Gonzales,51.5,7.3,0.5,89
Gray,29.2,5.2,0.7,90.3
Grayson,13.8,6.3,1.5,87.6
Gregg,19.2,20.9,1.4,74.5
Grimes,24.6,15.6,0.4,81
Guadalupe,38.3,8.6,2,85.5
Hale,59.7,5.8,0.7,90.2
Hall,34.2,9.2,0.4,87.1
Hamilton,13,1,0.8,95
Hansford,48.3,1,0.4,95.6
Hardeman,23.8,5.9,0.6,89.7
Hardin,5.9,5.6,0.7,91.6
Harris,43.3,19.9,7.4,69.6
Harrison,13.6,21.1,0.8,75
Hartley,27.1,7,0.7,90.4
Haskell,29.7,4.7,1,90.8
Hays,39.6,4.4,1.7,90.2
Hemphill,34.2,0.8,1.3,94.7
Henderson,13.3,6.4,0.7,89.8
Hidalgo,92.4,0.9,1.1,97
Hill,21.4,6.8,0.6,89.6
Hockley,48.7,4,0.6,92.6
Hood,12.9,1.1,0.9,95.5
Hopkins,17.4,7.4,0.7,88.8
Houston,11.5,25.5,0.8,71.6
Howard,43.1,7.2,1.2,88.1
Hudspeth,78,3.6,1.5,90.7
Hunt,17,8.3,1.7,86.5
Hutchinson,24,3,0.7,91.7
Irion,26.3,1.2,0.3,95.5
Jack,17.3,4,0.5,93
Jackson,34,6.5,1.1,89.6
Jasper,6.9,16.1,0.5,81
Jeff Davis,32.8,1.4,1.1,94
Jefferson,21.5,34.1,4,59.1
Jim Hogg,92.8,0.8,0.5,97.3
Jim Wells,80.4,1.1,0.5,96.5
Johnson,22,3.8,0.9,91.7
Jones,27.8,13.3,0.8,83
Karnes,55.3,9.3,0.5,88.1
Kaufman,22.4,12.5,1.4,82.8
Kendall,24.4,1.4,1.4,94.6
Kenedy,73.3,3.8,0.7,91.9
Kent,19.7,1.5,0.1,94.2
Kerr,27.5,1.9,1.1,93.9
Kimble,24.9,0.7,0.8,96.5
King,15.5,0,0,95.7
Kinney,60.2,2.1,0.4,93.8
Kleberg,73.4,4.2,2.5,90.7
Knox,34.9,6.2,0.3,89.4
Lamar,87.1,1.3,0.4,96.9
Lamb,8.1,13.4,0.8,80.9
Lampasas,55.9,4.6,0.4,91.4
La Salle,19.8,4.1,1.4,89.9
Lavaca,19.2,6.6,0.5,90.8
Lee,23.9,11.1,0.6,85.4
Leon,15,7.2,0.7,89.7
Liberty,26.8,10,0.8,86.3
Limestone,22.7,17.4,0.8,78.6
Lipscomb,34.5,1.9,0.8,92.4
Live Oak,40.4,4.8,0.8,92
Llano,10.9,1.2,0.6,95.8
Loving,16.4,4.6,0,94.7
Lubbock,35.9,7.8,2.5,86.6
Lynn,47.2,2.8,0.5,93
McCulloch,23.4,20,0.8,76.1
McLennan,4.3,21.3,0.9,74
McMullen,47.4,3,0.5,93.8
Madison,26.1,0.9,0.3,96.8
Marion,42.9,11.3,1.9,83.6
Martin,95.2,0.6,0.7,96.3
Mason,32.9,2.7,0.8,93.2
Matagorda,26.7,14.9,1.8,79.9
Maverick,43,2.7,0.7,93.2
Medina,52.4,3,0.9,93.4
Menard,36.5,1.6,0.2,95.5
Midland,45.3,6.8,2.2,88.1
Milam,26.9,9.6,0.9,86.4
Mills,18.4,1.1,0.4,96.2
Mitchell,40.2,10.5,0.7,84.7
Montague,11.3,0.7,0.5,95.6
Montgomery,24.8,5.6,3.2,88.2
Moore,56.3,3.9,7.5,85.4
Morris,10,22.7,0.6,72.3
Motley,18.3,2.9,0.2,93.9
Nacogdoches,19.7,18.3,1.6,77.3
Navarro,28,13.5,0.8,81.2
Newton,3.7,20.3,0.6,76.3
Nolan,38.1,5.2,0.9,90.5
Nueces,64.2,4.3,2.2,90.9
Ochiltree,55.4,1.2,0.7,94.7
Oldham,16.3,3.4,1.4,92.2
Orange,8,8.8,1.2,87.6
Palo Pinto,20.2,2.6,0.9,93.7
Panola,8.8,15.9,0.9,80.3
Parker,12.8,1.6,0.7,94.9
Parmer,64.3,1.7,0.9,93.9
Pecos,68.8,4.6,1.1,91.5
Polk,15.5,10.2,0.8,84.9
Potter,38.7,11,6,79.3
Presidio,83,1.5,2.7,93
Rains,9.2,2.6,1.1,93.6
Randall,22.3,3.5,1.8,91.5
Reagan,68.9,3.3,0.6,92.8
Real,27.8,1.1,0.4,94.5
Red River,7.5,16.8,0.4,79.3
Reeves,75,5.2,1.5,91.3
Refugio,50.3,6.4,0.9,89.6
Roberts,11.2,0.4,0.2,95.8
Robertson,21.5,20.3,0.8,76.2
Rockwall,18,6.8,3.1,87
Runnels,34.2,2.4,1.7,92.9
Rusk,17.3,17.6,0.7,78.8
Sabine,4.9,6.9,0.3,89.9
San Augustine,7.1,22,0.3,75.2
San Jacinto,13.2,9.7,0.5,86.4
San Patricio,58.4,2,1.2,94.1
San Saba,30.7,4,0.5,92.2
Schleicher,53.3,1.8,0.4,95
Scurry,40.6,5.4,0.8,90.6
Shackelford,10.9,1.8,0.4,95.3
Shelby,18.6,17.8,1.5,78.1
Sherman,43.9,1.8,0.9,94.9
Smith,19.9,17.8,1.8,77.7
Somervell,18.3,1.3,1.1,93.8
Starr,96.4,0.4,0.2,98.7
Stephens,23.9,2.8,0.9,93.6
Sterling,40.7,2.1,0.5,93.5
Stonewall,18.9,3.7,1.6,91
Sutton,63.1,1,0.6,96.3
Swisher,44.5,8.4,0.7,87.2
Tarrant,29.2,17.5,5.8,73
Taylor,24.8,8.3,2.4,85.3
Terrell,54.3,1.5,1,91.7
Terry,55.9,4.9,0.6,91.7
Throckmorton,14.5,1.3,0.5,96
Titus,44.1,10,1.2,84.8
Tom Green,40.5,4.4,1.4,90.7
Travis,33.9,8.9,7.3,79.9
Trinity,10.5,9.3,0.6,87.3
Tyler,8.1,11.4,0.6,85.6
Upshur,9,8,0.5,88.3
Upton,53.7,3.4,0.7,91.7
Uvalde,72.1,1.2,0.9,95.5
Val Verde,82.5,2.1,0.8,94.8
Van Zandt,11.2,2.9,0.5,93.8
Victoria,47.4,6.6,1.4,89.4
Walker,18.1,23.4,1.2,72.9
Waller,30.8,24.4,1.2,71.4
Ward,54.3,5,0.6,90.8
Washington,16.4,17.3,1.9,78.8
Webb,95.5,0.7,0.6,97.6
Wharton,42,13.8,0.6,83.8
Wheeler,25.6,3.2,0.9,92.2
Wichita,19.4,11.3,2.2,82.2
Wilbarger,29.5,8.2,2.8,84.9
Willacy,88.4,2.7,0.9,95.1
Williamson,24.8,7.2,7.7,81.2
Wilson,40,1.8,0.6,95.1
Winkler,60.8,3.3,0.9,92.3
Wise,19.7,1.6,0.6,94.9
Wood,10.3,5.5,0.6,91.3
Yoakum,66.9,1.5,0.5,95
Young,19.1,1.6,0.9,94.7
Zapata,94.6,0.4,0.3,98.5
Zavala,93.9,1.3,0.3,96.4
