County ,Hispanic_population,African_American_population,Asian_American_population,White_American_population 
Alameda,22.4,11.2,31.8,49.7
Alpine,11.4,0.1,2,69.9
Amador,14.4,2.7,1.7,89.7
Butte,16.7,1.8,4.9,85.9
Calaveras,12.4,1,1.7,91.2
Colusa,60.3,1.2,1.7,91.2
Contra Costa,25.8,9.5,18,65.5
Del Norte,20,3.5,3.1,78.4
El Dorado,12.9,1,4.7,88.9
Fresno,53.5,5.8,11,76.7
Glenn,42.3,1.4,3.1,89.1
Humboldt,11.8,1.4,2.9,83.4
Imperial,84.6,3.4,2.1,90.1
Inyo,22.7,1.2,1.6,80
Kern,54,6.3,5.4,82.3
Kings,55,7.3,4.5,81
Lake,21.3,2.1,1.4,87.2
Lassen,19.2,8.3,1.6,81.1
Los Angeles,48.6,9,15.4,70.8
Madera,58.3,4.3,2.5,86
Marin,16.1,2.8,6.5,85.5
Mariposa,11.6,1.3,1.7,89.4
Mendocino,25.6,1.1,2.2,86.2
Merced,60.2,4,7.9,82
Modoc,14.2,1.4,1.3,88.3
Mono,27.6,0.8,2.2,90.4
Monterey,59.1,3.5,6.8,82.7
Napa,34.5,2.5,8.8,83.8
Nevada,9.7,0.6,1.4,93.4
Orange,34.2,2.1,21.4,71.5
Placer,14.3,1.9,8,84.3
Plumas,9.2,1,1.2,90.8
Riverside,49.6,7.2,7.1,79.7
Sacramento,23.4,10.9,16.9,63
San Benito,60.6,1.5,3.6,87.9
San Bernardino,54,9.4,7.8,76.7
San Diego,34,5.5,12.6,75.5
San Francisco,15.2,5.6,35.9,52.9
San Joaquin,41.9,8.3,17,66.5
San Luis Obispo,22.8,2.1,4,88.8
San Mateo,24.3,2.7,30.1,60
Santa Barbara,45.8,2.4,6,85.4
Santa Clara,25.3,2.8,38.3,53.1
Santa Cruz,34.1,1.4,5.2,87.1
Shasta,10.3,1.2,3.1,87.8
Sierra,12.1,0.6,0.7,93.2
Siskiyou,12.9,1.5,1.6,86.1
Solano,26.9,14.8,16.2,59.7
Sonoma,27.2,2.1,4.6,86.8
Stanislaus,47,3.5,6.1,83.5
Sutter,31.5,2.7,17,72.8
Tehama,25.7,1,1.4,90.3
Trinity,7.5,0.7,1.4,87
Tulare,65.2,2.2,4,88.2
Tuolumne,12.7,2,1.4,90.3
Ventura,43,2.4,7.9,84.1
Yolo,31.9,3,15,74.2
Yuba,28.7,4.4,7.5,78.3
