State ,Company,number_of_employees,industry 
Alabama,walmart ,38041,retail
Alaska,providence health and services ,4000,healthcare 
Arizona,walmart ,33910,retail
Arkansas,walmart ,53310,retail
California,university of california,190000,education
Colorado,denver international airport ,35000,airport
Connecticut,yale new haven health system ,22193,healthcare 
Delaware,christiana care health system ,11100,healthcare 
District of Columbia,,,
Florida,walmart ,108321,retail
Georgia,walmart ,59371,retail
Hawaii,university of hawaii,10106,education
Idaho,st.luke's health system,14538,healthcare 
Illinois,walmart ,54698,walmart
Indiana,walmart ,39667,retail
Iowa,university of iowa,24598,education
Kansas,walmart ,20938,retail
Kentucky,walmart ,30181,retail
Louisiana,walmart ,36992,retail
Maine,hannaford supermarkets,8500,retail
Maryland,john hopkins institutions,51725,education/healthcare
Massachusetts,partners healthcare,68000,healthcare 
Michigan,university of michigan,48060,education
Minnesota,mayo clinic,34562,healthcare 
Mississippi,walmart ,24898,retail
Missouri,walmart ,43203,retail
Montana,walmart ,4776,retail
Nebraska,university of nebraska,16157,education
Nevada,mgm resorts international ,55200,hotels
New Hampshire,walmart ,8284,retail
New Jersey,wakefern food corporation,35000,retail
New Mexico,university of new mexico ,33390,education
New York,state university of new york ,90033,education
North Carolina,university of north carolina ,74079,education
North Dakota,sanford health,10581,healthcare 
Ohio,walmart ,50481,retail
Oklahoma,walmart ,34014,retail
Oregon,providence health and services ,21000,healthcare 
Pennsylvania,university of pittsburgh medical center ,61000,healthcare 
Rhode Island,lifespan system of hospitals,14000,healthcare 
South Carolina,walmart ,32267,retail
South Dakota,avera health ,12187,healthcare 
Tennessee,walmart ,41487,retail 
Texas,walmart ,171531,retail
Utah,intermountain healthcare ,38000,healthcare 
Vermont,the university of vermont medical center,7860,education
Virginia,walmart ,44621,retail
Washington,boeing,71036,manufacturing
West Virginia,walmart ,12321,retail
Wisconsin,university of wisconsin,39000,education 
Wyoming,walmart ,4699,retail
